Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.410002757772882,0.223304099954227,0.383656044234519,0,0,0,3.99707593295727,0.0338286081756613,2.69812394512863E-07,6.04312596661445E-10,0.0771999899846764,1.18867676606539E-08,0.0441560434041183,0,0,0,0,0,0,package://DiffDrive/meshes/base_link.STL,1,1,1,0.4,0,0,0,0,0,0,package://DiffDrive/meshes/base_link.STL,,Acrylic_base_DiffDrive-2;Profile20_75mm-2;Wheel_Back motor gear-2;Profile20_460mm-1;Profile20_500mm-1;mini_wheel_DiffDrive-4;Profile20_460mm-4;Wheel_Back stucture-2;Profile20_460mm-5;Wheel_Back motor gear-1;Profile20_460mm-6;Profile20_460mm-3;Wheel_Back stucture-1;mini_wheel_DiffDrive-2;Profile20_75mm-4;Profile20_500mm-2;Profile20_460mm-2;mini_wheel_DiffDrive-1;Bracket 20-1;mini_wheel_DiffDrive-3;Profile20_75mm-3;Profile20_75mm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
mini wheel 01,0.00442419024671004,0.0407882700915736,5.11365806366015E-08,0,0,0,0.0159163609587196,3.04804887255873E-06,3.8115153686273E-07,1.01515368617414E-10,2.55687129048666E-06,-5.57379950267749E-11,2.82872222947099E-06,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 01.STL,1,1,1,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 01.STL,,caster-2inch-7/caster-2inch-2-1;caster-2inch-7/caster-2inch-1-1;caster-2inch-7/caster-2inch-4-1,Origin_mini wheel 01,Axis_mini wheel 01,mini wheel 01,continuous,0.649922237049609,-0.238297834751047,0.157919253158435,1.5707963267949,0,-1.55646155726161,base_link,0,1,0,,,,,,,,,,,,
mini 01,0.0214652433425613,0.00180092427509927,0,0,0,0,0.0351037181525611,6.69573691459496E-06,-4.2351647362715E-22,-1.4756902127946E-20,6.69573691459495E-06,-1.46444055646388E-20,1.13592998252083E-05,0,0,0,0,0,0,package://DiffDrive/meshes/mini 01.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini 01.STL,,caster-2inch-7/caster-2inch-3-1,Origin_mini 01,Axis_mini 01,mini 01,continuous,0,0,0,0,0,0.296802859073811,mini wheel 01,0.292464356117457,0.956276424681065,0,,,,,,,,,,,,
mini wheel 02,-0.00376546230151442,0.0407882700171175,-0.00232266139324588,0,0,0,0.0159163608550056,2.98751038693051E-06,-3.24432619179736E-07,9.80449894252071E-08,2.55687121621709E-06,-2.00049983095585E-07,2.88926070956337E-06,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 02.STL,,caster-2inch-5/caster-2inch-1-1;caster-2inch-5/caster-2inch-2-1;caster-2inch-5/caster-2inch-4-1,Origin_mini wheel 02,Axis_mini wheel 02,mini wheel 02,continuous,0.649922237049609,-0.548297834751047,0.157919253158437,1.5707963267949,0,2.14107688053925,base_link,0,1,0,,,,,,,,,,,,
mini 02,0.0214652433425611,0.00180092427509934,1.11022302462516E-16,0,0,0,0.0351037181525611,6.69573691459496E-06,3.17637355220363E-22,2.2446373102239E-20,6.69573691459495E-06,-2.1572870375383E-21,1.13592998252083E-05,0,0,0,0,0,0,package://DiffDrive/meshes/mini 02.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini 02.STL,,caster-2inch-5/caster-2inch-3-1,Origin_mini 02,Axis_mini 02,mini 02,continuous,0,0,0,2.96311522163044,0.525941308677483,2.79662415169577,mini wheel 02,0.292464356117457,0.956276424681065,0,,,,,,,,,,,,
mini wheel 03,-0.00376546080228934,0.0407882711178764,-0.00232265994952238,0,0,0,0.0159163611002415,2.98751079488814E-06,-3.24432397210381E-07,9.8043942933475E-08,2.55687160406272E-06,-2.0005032862318E-07,2.88926023574823E-06,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 03.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 03.STL,,caster-2inch-6/caster-2inch-1-1;caster-2inch-6/caster-2inch-2-1;caster-2inch-6/caster-2inch-4-1,Origin_mini wheel 03,Axis_mini wheel 03,mini wheel 03,continuous,0.169922237049587,-0.548297834751047,0.157919253158437,1.5707963267949,0,2.11677958982226,base_link,0,1,0,,,,,,,,,,,,
mini 03,0.0214652433425609,0.00180092427509926,1.11022302462516E-16,0,0,0,0.0351037181525611,6.69573691459494E-06,3.17637355220363E-22,8.37106779903664E-22,6.69573691459494E-06,-3.25743725223382E-21,1.13592998252082E-05,0,0,0,0,0,0,package://DiffDrive/meshes/mini 03.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini 03.STL,,caster-2inch-6/caster-2inch-3-1,Origin_mini 03,Axis_mini 03,mini 03,continuous,0,0,0,2.96311522163044,0.525941308677473,2.79662415169576,mini wheel 03,0.292464356117462,0.956276424681064,0,,,,,,,,,,,,
mini wheel 04,0.0404249060706092,-0.00700596278140952,-5.14370523119201E-08,0,0,0,0.0159163608704481,2.79652754247248E-06,4.53381671510528E-07,2.53127233188317E-11,2.80839192000701E-06,-1.12354417786115E-10,2.82872309017874E-06,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 04.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini wheel 04.STL,,caster-2inch-8/caster-2inch-4-1;caster-2inch-8/caster-2inch-2-1;caster-2inch-8/caster-2inch-1-1,Origin_mini wheel 04,Axis_mini wheel 04,mini wheel 04,continuous,0.169922237049587,-0.238297834751047,0.157919253158437,-1.5707963267949,-1.29114800642175,-1.58217190075403,base_link,0.961152567529158,-0.276017647863517,0,,,,,,,,,,,,
mini 04,0.021465243342561,0.00180092427509938,2.77555756156289E-17,0,0,0,0.035103718152561,6.69573691459492E-06,-6.35274710440725E-22,2.06464280893236E-21,6.69573691459492E-06,7.0475788189518E-22,1.13592998252082E-05,0,0,0,0,0,0,package://DiffDrive/meshes/mini 04.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://DiffDrive/meshes/mini 04.STL,,caster-2inch-8/caster-2inch-3-1,Origin_mini 04,Axis_mini 04,mini 04,continuous,0,0,0,3.14159265358979,0,0.994345147347936,mini wheel 04,0.292464356117458,0.956276424681065,0,,,,,,,,,,,,
Wheel 01,5.55111512312578E-17,0.0257257525083612,5.55111512312578E-17,0,0,0,0.240470068076377,0.000245137261047143,4.26861241081053E-21,-6.7762635780344E-21,0.000452624182450972,1.59972478988236E-20,0.000245137261047143,0,0,0,0,0,0,package://DiffDrive/meshes/Wheel 01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DiffDrive/meshes/Wheel 01.STL,,Wheel-1,Origin_Wheel 01,Axis_Wheel 01,Wheel 01,continuous,0.659922237049609,-0.392297834751047,0.200418917757862,3.14159265358979,-0.53712555837446,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
Wheel 02,0,-0.0152742474916388,2.77555756156289E-17,0,0,0,0.240470068076377,0.000245137261047143,5.12745004835681E-20,0,0.000452624182450971,-5.57841424911612E-20,0.000245137261047143,0,0,0,0,0,0,package://DiffDrive/meshes/Wheel 02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DiffDrive/meshes/Wheel 02.STL,,Wheel-2,Origin_Wheel 02,Axis_Wheel 02,Wheel 02,continuous,0.118922237049587,-0.39229783475107,0.200418917757862,0,0.774914173734372,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
